Time RV eRV
53158.764366 0 1.49
53201.586793 -8.47499999999979 1.53
53511.798846 -5.12699999999988 1.51
53520.781048 2.90799999999969 1.63
53783.863348 3.57900000000022 1.13
53810.852282 0.345000000000262 1
53811.891816 3.84600000000024 1.47
53812.865858 2.95600000000018 1.2
53814.849083 -6.34300000000021 0.91
53816.857459 -6.33200000000045 1.13
53830.860468 -3.82399999999983 1.06
53832.903068 2.67799999999951 1.15
53834.884977 1.95900000000027 1.04
53836.887788 -2.50000000000039 0.91
53861.796371 11.0939999999999 1.06
53862.772051 10.8249999999996 1.21
53863.797178 8.47499999999979 1.02
53864.753954 5.91600000000003 1.12
53865.785606 1.10700000000019 1.01
53866.74312 1.88699999999997 0.93
53867.835652 2.80799999999992 1.11
53868.813512 4.32800000000011 1.09
53869.789495 7.75900000000007 1.13
53870.810097 6.02899999999984 1.29
53871.815952 0.91999999999981 1.29
53882.73297 -0.384000000000384 0.96
53886.70355 0.129000000000268 0.91
53887.773514 -0.511000000000372 0.86
53917.737524 0.706000000000095 1.57
53919.712544 4.64799999999954 1.61
53921.615825 2.12900000000005 0.95
53944.566259 1.53200000000009 1.46
53947.578821 9.67399999999952 2.55
53950.601834 4.86499999999968 1.39
53976.497106 6.68999999999986 1.07
53979.594316 3.05200000000028 1.62
53981.555311 -0.657000000000352 1.04
53982.526504 0.023999999999802 1.17
54167.866839 1.45000000000017 1.08
54169.864835 3.3909999999997 1.11
54171.876906 10.0119999999997 1.05
54173.856452 2.41399999999992 1.09
54194.84729 4.98599999999971 1.17
54196.819157 0.696999999999726 1.27
54197.797125 -0.372999999999735 1.43
54198.803823 -0.551999999999886 1.27
54199.854238 4.91900000000012 0.96
54200.815699 6.35899999999978 1.04
54201.918397 5.60000000000027 1.11
54202.802697 0.329999999999941 1.14
54227.831743 4.06499999999976 1.41
54228.80586 8.37500000000002 1.12
54229.773888 11.4460000000003 1.68
54230.845843 5.94599999999978 1.1
54231.801726 3.1270000000001 1.02
54232.721251 2.19699999999978 1.78
54233.910349 1.50800000000029 1.98
54234.790981 2.36899999999984 1.14
54253.728334 5.56000000000001 1.33
54254.755898 0.639999999999752 0.98
54255.70935 1.31100000000028 1.2
54256.697674 3.64100000000001 1.32
54257.704446 6.31199999999943 1.18
54258.698322 8.77199999999956 1.12
54291.675565 -0.628999999999991 1.74
54292.655662 2.04199999999943 1.25
54293.708786 6.28299999999982 1.07
54295.628628 7.75400000000026 1.49
54296.670395 -0.215999999999994 1.23
54297.631678 -0.865000000000116 1.02
54298.654206 -2.60499999999997 1.2
54299.678909 1.72599999999967 1.4
54300.764649 3.90699999999988 1.12
54314.691809 1.00500000000014 2.4
54315.637551 5.64499999999946 1.84
54316.554926 9.97599999999998 1.57
54319.604048 -2.9830000000004 1.07
54320.616852 -1.99200000000044 1.19
54340.596942 3.3789999999998 1.03
54342.53182 1.89099999999964 1.01
54343.530662 5.50099999999976 1.11
54346.551084 2.84299999999948 1.59
54349.5695 -0.535000000000174 1.27
54522.886464 2.77399999999961 1.1
54524.883089 7.29500000000005 1.19
54525.892144 4.9159999999997 1.07
54526.871196 4.53700000000001 0.99
54527.897962 0.696999999999726 1.14
54528.903672 -0.682000000000293 1.24
54529.869217 3.81799999999988 1.11
54530.878876 5.68900000000028 1
54550.901932 -2.15000000000032 1.06
